4; car; 3; [7, 0, 68, 112]; 0.9968756437301636
2; car; 3; [283, 577, 449, 834]; 0.9949707984924316
8; car; 3; [60, 645, 119, 769]; 0.9939111471176147
5; person; 1; [18, 545, 67, 564]; 0.9912074208259583
6; person; 1; [17, 513, 67, 530]; 0.9860556125640869
13; car; 3; [1, 391, 37, 464]; 0.9743549823760986
11; person; 1; [26, 487, 74, 507]; 0.9598415493965149
9; person; 1; [26, 480, 75, 493]; 0.9245216846466064
18; person; 1; [8, 780, 43, 806]; 0.8231675028800964
10; person; 1; [10, 574, 61, 593]; 0.8148918747901917
16; car; 3; [1, 749, 19, 797]; 0.8041098117828369
