79; bus; 6; [6, 637, 103, 907]; 0.9994608759880066
4; car; 3; [31, 0, 91, 116]; 0.9928921461105347
6; person; 1; [34, 515, 85, 531]; 0.9906049370765686
78; person; 1; [43, 480, 94, 497]; 0.973645806312561
5; person; 1; [33, 542, 81, 560]; 0.9690462350845337
110; car; 3; [68, 803, 112, 893]; 0.9664279222488403
11; person; 1; [43, 491, 90, 507]; 0.9365832209587097
86; car; 3; [6, 388, 55, 474]; 0.8223034739494324
119; person; 1; [39, 668, 62, 695]; 0.8056658506393433
41; person; 1; [28, 607, 71, 624]; 0.7943078875541687
