2; car; 3; [265, 651, 418, 885]; 0.9969584941864014
4; car; 3; [14, 0, 72, 113]; 0.9966999888420105
6; person; 1; [21, 514, 71, 530]; 0.9860407710075378
5; person; 1; [22, 542, 69, 561]; 0.9859413504600525
31; person; 1; [11, 792, 48, 808]; 0.9735836386680603
9; person; 1; [31, 480, 78, 498]; 0.966280460357666
27; car; 3; [0, 807, 20, 842]; 0.9586615562438965
23; car; 3; [1, 697, 25, 742]; 0.9309391379356384
33; person; 1; [13, 771, 46, 791]; 0.9259026646614075
35; car; 3; [2, 847, 20, 885]; 0.9249329566955566
28; person; 1; [35, 667, 57, 686]; 0.8419453501701355
11; person; 1; [31, 494, 74, 508]; 0.8006588220596313
