2; car; 3; [271, 628, 432, 866]; 0.996543824672699
4; car; 3; [14, 0, 72, 111]; 0.9964789748191833
8; car; 3; [79, 476, 147, 633]; 0.9959620833396912
6; person; 1; [22, 512, 70, 529]; 0.9869409203529358
9; person; 1; [31, 479, 78, 495]; 0.9801856279373169
5; person; 1; [23, 541, 69, 561]; 0.9750842452049255
27; car; 3; [0, 806, 19, 842]; 0.9545422792434692
11; person; 1; [32, 492, 75, 507]; 0.9165953397750854
23; car; 3; [0, 697, 25, 741]; 0.9011489152908325
31; person; 1; [9, 794, 46, 809]; 0.8886601328849792
28; person; 1; [34, 666, 57, 687]; 0.8805328011512756
13; car; 3; [1, 381, 37, 467]; 0.8616286516189575
33; person; 1; [12, 776, 44, 791]; 0.8019757866859436
