2; car; 3; [201, 900, 284, 960]; 0.9982553124427795
4; car; 3; [19, 0, 79, 114]; 0.9963439106941223
41; person; 1; [21, 594, 68, 614]; 0.9921463131904602
79; bus; 6; [0, 865, 68, 960]; 0.9904187321662903
6; person; 1; [25, 515, 75, 531]; 0.9877650141716003
70; person; 1; [9, 668, 59, 688]; 0.9736902117729187
11; person; 1; [34, 491, 80, 507]; 0.9522355794906616
5; person; 1; [25, 541, 72, 558]; 0.9473041296005249
78; person; 1; [32, 480, 81, 497]; 0.904732346534729
86; car; 3; [3, 380, 47, 469]; 0.9032723307609558
80; car; 3; [2, 845, 22, 878]; 0.847311794757843
57; car; 3; [3, 699, 29, 748]; 0.8398208022117615
90; person; 1; [18, 770, 48, 786]; 0.7995564937591553
