79; bus; 6; [2, 571, 107, 873]; 0.9996364116668701
4; car; 3; [31, 0, 91, 115]; 0.9943324327468872
6; person; 1; [35, 512, 84, 532]; 0.9924411773681641
5; person; 1; [33, 543, 80, 561]; 0.9895128607749939
78; person; 1; [41, 479, 91, 495]; 0.9784326553344727
110; car; 3; [75, 658, 131, 767]; 0.9616764187812805
11; person; 1; [40, 493, 88, 506]; 0.9457966089248657
134; car; 3; [121, 612, 181, 759]; 0.9424007534980774
7; car; 3; [199, 949, 239, 960]; 0.9383025765419006
136; car; 3; [3, 871, 25, 909]; 0.7658177614212036
