4; car; 3; [18, 0, 77, 117]; 0.995243489742279
41; person; 1; [24, 591, 70, 612]; 0.9931822419166565
2; car; 3; [231, 780, 354, 960]; 0.9915587902069092
6; person; 1; [24, 517, 73, 532]; 0.9871734380722046
31; person; 1; [13, 788, 49, 804]; 0.9836277961730957
5; person; 1; [22, 543, 72, 566]; 0.9746623635292053
32; car; 3; [72, 592, 141, 723]; 0.9684363007545471
11; person; 1; [32, 494, 80, 509]; 0.957367479801178
33; person; 1; [19, 768, 48, 785]; 0.9505591988563538
27; car; 3; [1, 804, 25, 848]; 0.9286317229270935
57; car; 3; [3, 701, 29, 746]; 0.799555242061615
38; car; 3; [116, 571, 180, 728]; 0.7493839263916016
